Date,portfolio
2022-12-29,0.008053225504447193
2022-12-30,-0.010174067980836872
2023-01-03,0.0492453125596871
2023-01-04,0.013475745448378765
2023-01-05,-0.01613980643186511
2023-01-06,0.024266067667245882
2023-01-09,-0.004570652837852978
2023-01-10,0.01101616357031739
2023-01-11,0.00992494816314133
2023-01-12,0.011215701416232456
2023-01-13,0.015222654013438194
2023-01-17,-0.028543852095733895
2023-01-18,-0.007855823111089132
2023-01-19,-0.021981453884026777
2023-01-20,-0.0009850876988737774
2023-01-23,-0.0011646147789470202
2023-01-24,0.009504131341832131
2023-01-25,0.011397454488399008
2023-01-26,-0.020662902818758617
2023-01-27,-0.0006350902612094341
2023-01-30,0.00543878856765395
2023-01-31,0.003363576132544368
2023-02-01,0.021464578991716398
2023-02-02,0.010392584690867826
2023-02-03,-0.03255651634221721
2023-02-06,-0.007857798900316345
2023-02-07,-0.008544741060886877
2023-02-08,0.0038581300802002696
2023-02-09,-0.01703877192127369
2023-02-10,-0.008715497912379255
2023-02-13,0.021775592103198585
2023-02-14,-0.007963383267312388
2023-02-15,-0.005906735871544602
2023-02-16,-0.00875340542623162
2023-02-17,0.007067243951114865
2023-02-21,-0.013798513824401308
2023-02-22,0.002476976598087723
2023-02-23,0.0020565245556278633
2023-02-24,-0.01170070653832115
2023-02-27,-0.004182276215063939
2023-02-28,0.008226540411716401
2023-03-01,-0.011943519676011014
2023-03-02,0.007895553790820707
2023-03-03,0.011976261271300848
2023-03-06,-0.009573956187911823
2023-03-07,-0.011218952462573227
2023-03-08,0.006554746070640246
2023-03-09,-0.005214917039243934
2023-03-10,0.007524615692358682
2023-03-13,0.0030607077846546114
2023-03-14,0.011466311219634429
2023-03-15,0.015616506338698126
2023-03-16,0.01928289978307155
2023-03-17,0.0007746537952019097
2023-03-20,-0.015853671236617718
2023-03-21,-0.01272595713864539
2023-03-22,-0.0018619640812833661
2023-03-23,0.00882662564794599
2023-03-24,-0.0020061557970983733
2023-03-27,-0.001100727151428334
2023-03-28,-0.002363689825523309
2023-03-29,0.0106632528501158
2023-03-30,0.004321928121880278
2023-03-31,0.0021066324665915065
2023-04-03,-0.013363606656056756
2023-04-04,0.004612691774958814
2023-04-05,-0.005267425139119301
2023-04-06,0.004552323101463771
2023-04-10,0.0043153748657934615
2023-04-11,-0.004822261484279964
2023-04-12,0.00010236487576226064
2023-04-13,0.007888033014755196
2023-04-14,0.0067566528408890495
2023-04-17,0.01476099230351417
2023-04-18,0.0084886783225579
2023-04-19,0.0054141974135775706
2023-04-20,0.016741270996304354
2023-04-21,-0.002476807928234923
2023-04-24,-0.006404495858084839
2023-04-25,-0.011279765809761378
2023-04-26,0.018732868989728438
2023-04-27,0.008554752409476153
2023-04-28,-0.002323265240097643
2023-05-01,0.0012892634076184625
2023-05-02,0.02543253620421878
2023-05-03,0.006211909054651531
2023-05-04,-0.006781853567577241
2023-05-05,-0.010157688261277312
2023-05-08,-0.010196531657495046
2023-05-09,0.0006728399022014656
